stationId,linkId,numberOfQueues,rechargeRate,min Distance, x-coord,y-coord
Station_117,756902,1,38.4,0.9803654358735088,2676769,1251714
Station_118,386830,1,38.4,1.0693648209869764,2693526,1263525
Station_120,487723,1,38.4,6.887943583251001,2663118,1243468
Station_121,741793,1,38.4,0.26254275636679125,2658165,1258053
Station_122,614071,1,38.4,4.19290582641591,2702374,1228673
Station_124,958999,1,38.4,1.5571377321010687,2663113,1253377
Station_125,235348,1,38.4,33.420348597165834,2672861,1251018
Station_127,145714,1,38.4,1.5530779256131666,2682506,1243522
Station_128,53304,1,38.4,2.4430797441787035,2692617,1230581
Station_129,206877,1,38.4,4.583370832629839,2700427,1228974
Station_130,727797,1,38.4,0.5736765830707213,2697796,1222763
Station_131,885249,1,38.4,1.916740970897166,2689162,1252235
Station_133,879653,1,38.4,7.04613968794655,2696538,1263868
Station_135,895861,1,38.4,0.9346608469145963,2685322,1246346
Station_136,879727,1,38.4,0.16370220867161578,2686050,1255664
Station_137,840605,1,38.4,2.767194179406161,2679236,1226262
Station_138,644607,1,38.4,1.5249411279292246,2678204,1249684
Station_140,806895,1,38.4,7.2751124526673365,2692982,1231285
Station_141,1465,1,38.4,4.631430306106225,2675617,1249987
Station_142,578287,1,38.4,3.1424073760360756,2689435,1250179
Station_143,717350,1,38.4,3.8813530569037695,2694212,1253930
Station_144,870423,1,38.4,0.22892913110089808,2692509,1232604
Station_145,53299,1,38.4,3.11770607740479,2699516,1228003
Station_146,484478,1,38.4,0.20092467363522104,2678071,1254637
Station_147,622907,1,38.4,0.3829036974039184,2686287,1241293
Station_148,740599,1,38.4,0.056356026018193006,2696561,1227925
Station_149,47716,1,38.4,1.9680278579097603,2684546,1253742
Station_150,268877,1,38.4,13.164363512745187,2691875,1235672
Station_151,103635,1,38.4,1.1271199021977907,2688069,1250392
Station_152,877378,1,38.4,0.9042883886473874,2681677,1243859
Station_153,270073,1,38.4,1.3865933986641892,2699199,1260441
Station_154,572134,1,38.4,0.05976681779438309,2680445,1258873
Station_155,494154,1,38.4,1.1083811816428408,2706415,1231918
Station_156,69390,1,38.4,8.043361210586063,2679468,1249379
Station_157,622908,1,38.4,0.9212327393442905,2686283,1241199
Station_158,867371,1,38.4,1.5235434938923618,2679909,1246953
Station_159,311455,1,38.4,0.931837783087758,2676198,1236474
Station_160,435244,1,38.4,4.089253009701707,2684910,1252312
